,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,0.3175,0.0375,0.0325,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0075,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0575,0.015,0.0325,0.0125,0.06,0.0725,0.0275,0.2025
Real_BenignTraffic,0.03,0.3925,0.0325,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.01,0.12,0.09,0.035,0.0725,0.01,0.1,0.0275
Real_BrowserHijacking,0.0475,0.055,0.4875,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.045,0.0175,0.045,0.015,0.035,0.0325,0.0325,0.08
Real_CommandInjection,0.1125,0.0275,0.045,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0325,0.0175,0.035,0.0125,0.0425,0.1025,0.02,0.195
Real_DDoS-ACK_Fragmentation,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-HTTP_Flood,0.0,0.0,0.0,0.0,0.0,0.8325,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0025,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-ICMP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-ICMP_Fragmentation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9925,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-PSHACK_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-RSTFINFlood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-SYN_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0
Real_DDoS-SlowLoris,0.0,0.0,0.0,0.0,0.0025,0.0125,0.0,0.0,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-SynonymousIP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2475,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-TCP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
