y_real,y_pred
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,Mirai
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
DDoS,DoS
DDoS,DDoS
DDoS,DDoS
DDoS,DDoS
